TABLE_SCHEMA	TABLE_NAME	CONSTRAINT_NAME	CONSTRAINT_TYPE
shenzhou_hr_dev	audit_event	PRIMARY	PRIMARY KEY
shenzhou_hr_dev	audit_event	uq_audit_event_hash	UNIQUE
shenzhou_hr_dev	auth_capability	PRIMARY	PRIMARY KEY
shenzhou_hr_dev	auth_capability	uq_auth_capability_code	UNIQUE
shenzhou_hr_dev	auth_data_scope	fk_auth_scope_legal_entity	FOREIGN KEY
shenzhou_hr_dev	auth_data_scope	fk_auth_scope_organization	FOREIGN KEY
shenzhou_hr_dev	auth_data_scope	PRIMARY	PRIMARY KEY
shenzhou_hr_dev	auth_principal	fk_auth_principal_employee	FOREIGN KEY
shenzhou_hr_dev	auth_principal	PRIMARY	PRIMARY KEY
shenzhou_hr_dev	auth_principal	uq_auth_principal_employee	UNIQUE
shenzhou_hr_dev	auth_principal_role_assignment	fk_principal_role_principal	FOREIGN KEY
shenzhou_hr_dev	auth_principal_role_assignment	fk_principal_role_role	FOREIGN KEY
shenzhou_hr_dev	auth_principal_role_assignment	fk_principal_role_scope	FOREIGN KEY
shenzhou_hr_dev	auth_principal_role_assignment	PRIMARY	PRIMARY KEY
shenzhou_hr_dev	auth_role	PRIMARY	PRIMARY KEY
shenzhou_hr_dev	auth_role	uq_auth_role_code	UNIQUE
shenzhou_hr_dev	auth_role_capability	fk_role_capability_capability	FOREIGN KEY
shenzhou_hr_dev	auth_role_capability	fk_role_capability_role	FOREIGN KEY
shenzhou_hr_dev	auth_role_capability	PRIMARY	PRIMARY KEY
shenzhou_hr_dev	employee	fk_employee_legal_entity	FOREIGN KEY
shenzhou_hr_dev	employee	PRIMARY	PRIMARY KEY
shenzhou_hr_dev	employee_source_binding	fk_employee_binding_employee	FOREIGN KEY
shenzhou_hr_dev	employee_source_binding	PRIMARY	PRIMARY KEY
shenzhou_hr_dev	employee_source_binding	uq_employee_binding_deli_ext_current	UNIQUE
shenzhou_hr_dev	employee_source_binding	uq_employee_binding_deli_number_current	UNIQUE
shenzhou_hr_dev	employee_source_binding	uq_employee_binding_deli_user_current	UNIQUE
shenzhou_hr_dev	employee_source_binding	uq_employee_binding_employee_current	UNIQUE
shenzhou_hr_dev	employee_source_binding	uq_employee_binding_oa_code_current	UNIQUE
shenzhou_hr_dev	employee_source_binding	uq_employee_binding_seeyon_person_current	UNIQUE
shenzhou_hr_dev	employment_assignment	fk_assignment_employee	FOREIGN KEY
shenzhou_hr_dev	employment_assignment	fk_assignment_organization	FOREIGN KEY
shenzhou_hr_dev	employment_assignment	PRIMARY	PRIMARY KEY
shenzhou_hr_dev	flyway_schema_history	PRIMARY	PRIMARY KEY
shenzhou_hr_dev	legal_entity	PRIMARY	PRIMARY KEY
shenzhou_hr_dev	legal_entity	uq_legal_entity_code	UNIQUE
shenzhou_hr_dev	local_account	fk_local_account_principal	FOREIGN KEY
shenzhou_hr_dev	local_account	PRIMARY	PRIMARY KEY
shenzhou_hr_dev	local_account	uq_local_account_normalized_username	UNIQUE
shenzhou_hr_dev	local_account	uq_local_account_principal	UNIQUE
shenzhou_hr_dev	login_failure_window	fk_login_failure_account	FOREIGN KEY
shenzhou_hr_dev	login_failure_window	PRIMARY	PRIMARY KEY
shenzhou_hr_dev	organization_current_closure	fk_org_closure_ancestor	FOREIGN KEY
shenzhou_hr_dev	organization_current_closure	fk_org_closure_descendant	FOREIGN KEY
shenzhou_hr_dev	organization_current_closure	PRIMARY	PRIMARY KEY
shenzhou_hr_dev	organization_current_projection	fk_org_projection_identity	FOREIGN KEY
shenzhou_hr_dev	organization_current_projection	fk_org_projection_version	FOREIGN KEY
shenzhou_hr_dev	organization_current_projection	PRIMARY	PRIMARY KEY
shenzhou_hr_dev	organization_current_projection	uq_org_current_version	UNIQUE
shenzhou_hr_dev	organization_identity	fk_org_identity_legal_entity	FOREIGN KEY
shenzhou_hr_dev	organization_identity	PRIMARY	PRIMARY KEY
shenzhou_hr_dev	organization_source_binding	fk_org_source_binding_identity	FOREIGN KEY
shenzhou_hr_dev	organization_source_binding	PRIMARY	PRIMARY KEY
shenzhou_hr_dev	organization_source_binding	uq_org_source_binding_current	UNIQUE
shenzhou_hr_dev	organization_source_binding	uq_org_source_binding_identity_current	UNIQUE
shenzhou_hr_dev	organization_version	fk_org_version_identity	FOREIGN KEY
