CONSTRAINT_SCHEMA	TABLE_NAME	CONSTRAINT_NAME	CHECK_CLAUSE
shenzhou_hr_dev	employee_version	ck_employee_version_period	((`effective_to` is null) or (`effective_to` > `effective_from`))
shenzhou_hr_dev	employee_version	ck_employee_version_source	(`source_authority` in (_utf8mb4\'INITIAL_EXCEL\',_utf8mb4\'LOCAL\'))
shenzhou_hr_dev	employee_version	ck_employee_version_status	(`status` in (_utf8mb4\'ACTIVE\',_utf8mb4\'INACTIVE\',_utf8mb4\'TERMINATED\'))
shenzhou_hr_dev	employment_assignment	ck_assignment_period	((`effective_to` is null) or (`effective_to` > `effective_from`))
shenzhou_hr_dev	employment_assignment	ck_assignment_record_status	(`record_status` in (_ascii\'ACTIVE\',_ascii\'RETRACTED\'))
shenzhou_hr_dev	employment_assignment	ck_assignment_version_period	((`version_valid_to` is null) or (`version_valid_to` > `created_at`))
shenzhou_hr_dev	organization_version	ck_org_version_period	((`effective_to` is null) or (`effective_to` > `effective_from`))
shenzhou_hr_dev	organization_version	ck_org_version_source_authority	(`source_authority` in (_utf8mb4\'INITIAL_EXCEL\',_utf8mb4\'LOCAL\'))
shenzhou_hr_dev	organization_version	ck_org_version_status	(`status` in (_utf8mb4\'ACTIVE\',_utf8mb4\'INACTIVE\'))
shenzhou_hr_dev	people_import_batch	ck_people_import_status	(`status` in (_ascii\'DRAFT\',_ascii\'VALIDATING\',_ascii\'VALIDATION_FAILED\',_ascii\'AWAITING_CONFIRMATION\',_ascii\'PUBLISHING\',_ascii\'PUBLISHED\',_ascii\'PUBLISH_FAILED\',_ascii\'VOIDED\'))
shenzhou_hr_dev	people_import_batch	ck_people_import_template_type	(`template_type` in (_ascii\'ORGANIZATION\',_ascii\'EMPLOYEE\',_ascii\'EMPLOYMENT\',_ascii\'PRIOR_SERVICE\'))
shenzhou_hr_dev	people_import_diff	ck_people_import_diff_category	(`category` in (_utf8mb4\'ADDED\',_utf8mb4\'UPDATED\',_utf8mb4\'UNCHANGED\',_utf8mb4\'CONFLICT\',_utf8mb4\'ERROR\'))
shenzhou_hr_dev	people_import_file	ck_people_import_file_size	((`size_bytes` > 0) and (`size_bytes` <= 20971520))
shenzhou_hr_dev	people_import_issue	ck_people_import_issue_severity	(`severity` in (_utf8mb4\'WARNING\',_utf8mb4\'BLOCKING\'))
shenzhou_hr_dev	prior_service_record	ck_prior_service_type	(`record_type` in (_utf8mb4\'OPENING_IMPORT\',_utf8mb4\'ADJUSTMENT\',_utf8mb4\'REVERSAL\'))
shenzhou_hr_test	employee_version	ck_employee_version_period	((`effective_to` is null) or (`effective_to` > `effective_from`))
shenzhou_hr_test	employee_version	ck_employee_version_source	(`source_authority` in (_utf8mb4\'INITIAL_EXCEL\',_utf8mb4\'LOCAL\'))
shenzhou_hr_test	employee_version	ck_employee_version_status	(`status` in (_utf8mb4\'ACTIVE\',_utf8mb4\'INACTIVE\',_utf8mb4\'TERMINATED\'))
shenzhou_hr_test	employment_assignment	ck_assignment_period	((`effective_to` is null) or (`effective_to` > `effective_from`))
shenzhou_hr_test	employment_assignment	ck_assignment_record_status	(`record_status` in (_ascii\'ACTIVE\',_ascii\'RETRACTED\'))
shenzhou_hr_test	employment_assignment	ck_assignment_version_period	((`version_valid_to` is null) or (`version_valid_to` > `created_at`))
shenzhou_hr_test	organization_version	ck_org_version_period	((`effective_to` is null) or (`effective_to` > `effective_from`))
shenzhou_hr_test	organization_version	ck_org_version_source_authority	(`source_authority` in (_utf8mb4\'INITIAL_EXCEL\',_utf8mb4\'LOCAL\'))
shenzhou_hr_test	organization_version	ck_org_version_status	(`status` in (_utf8mb4\'ACTIVE\',_utf8mb4\'INACTIVE\'))
shenzhou_hr_test	people_import_batch	ck_people_import_status	(`status` in (_ascii\'DRAFT\',_ascii\'VALIDATING\',_ascii\'VALIDATION_FAILED\',_ascii\'AWAITING_CONFIRMATION\',_ascii\'PUBLISHING\',_ascii\'PUBLISHED\',_ascii\'PUBLISH_FAILED\',_ascii\'VOIDED\'))
shenzhou_hr_test	people_import_batch	ck_people_import_template_type	(`template_type` in (_ascii\'ORGANIZATION\',_ascii\'EMPLOYEE\',_ascii\'EMPLOYMENT\',_ascii\'PRIOR_SERVICE\'))
shenzhou_hr_test	people_import_diff	ck_people_import_diff_category	(`category` in (_utf8mb4\'ADDED\',_utf8mb4\'UPDATED\',_utf8mb4\'UNCHANGED\',_utf8mb4\'CONFLICT\',_utf8mb4\'ERROR\'))
shenzhou_hr_test	people_import_file	ck_people_import_file_size	((`size_bytes` > 0) and (`size_bytes` <= 20971520))
shenzhou_hr_test	people_import_issue	ck_people_import_issue_severity	(`severity` in (_utf8mb4\'WARNING\',_utf8mb4\'BLOCKING\'))
shenzhou_hr_test	prior_service_record	ck_prior_service_type	(`record_type` in (_utf8mb4\'OPENING_IMPORT\',_utf8mb4\'ADJUSTMENT\',_utf8mb4\'REVERSAL\'))
