TABLE_SCHEMA	TABLE_NAME	INDEX_NAME	NON_UNIQUE	columns_list
shenzhou_hr_dev	employee_current_projection	PRIMARY	0	employee_id
shenzhou_hr_dev	employee_current_projection	uq_employee_current_version	0	current_version_id
shenzhou_hr_dev	employee_version	fk_employee_version_created_by	1	created_by
shenzhou_hr_dev	employee_version	ix_employee_version_number	1	employee_number,effective_from,effective_to
shenzhou_hr_dev	employee_version	ix_employee_version_period	1	employee_id,effective_from,effective_to
shenzhou_hr_dev	employee_version	ix_employee_version_source_batch	1	source_import_batch_id
shenzhou_hr_dev	employee_version	PRIMARY	0	employee_version_id
shenzhou_hr_dev	employee_version	uq_employee_version_current	0	employee_id,current_marker
shenzhou_hr_dev	employment_assignment	fk_assignment_created_by	1	created_by
shenzhou_hr_dev	employment_assignment	ix_assignment_employee_period	1	employee_id,effective_from,effective_to
shenzhou_hr_dev	employment_assignment	ix_assignment_org_period	1	organization_id,effective_from,effective_to
shenzhou_hr_dev	employment_assignment	ix_assignment_period_version	1	employment_period_id,created_at
shenzhou_hr_dev	employment_assignment	ix_assignment_source_batch	1	source_import_batch_id
shenzhou_hr_dev	employment_assignment	PRIMARY	0	assignment_id
shenzhou_hr_dev	employment_assignment	uq_assignment_current_period	0	employment_period_id,current_version_marker
shenzhou_hr_dev	organization_version	fk_org_version_created_by	1	created_by
shenzhou_hr_dev	organization_version	ix_org_version_parent_period	1	parent_organization_id,effective_from,effective_to
shenzhou_hr_dev	organization_version	ix_org_version_source_batch	1	source_import_batch_id
shenzhou_hr_dev	organization_version	PRIMARY	0	organization_version_id
shenzhou_hr_dev	organization_version	uq_org_version_current	0	organization_id,current_marker
shenzhou_hr_dev	people_idempotency_record	PRIMARY	0	idempotency_record_id
shenzhou_hr_dev	people_idempotency_record	uq_people_idempotency_actor_action_key	0	actor_id,action_code,idempotency_key
shenzhou_hr_dev	people_import_batch	fk_people_import_created_by	1	created_by
shenzhou_hr_dev	people_import_batch	fk_people_import_duplicate_publication	1	duplicate_of_publication_id
shenzhou_hr_dev	people_import_batch	fk_people_import_updated_by	1	updated_by
shenzhou_hr_dev	people_import_batch	ix_people_import_file_hash	1	file_sha256
shenzhou_hr_dev	people_import_batch	ix_people_import_scope_status	1	legal_entity_id,status,created_at,batch_id
shenzhou_hr_dev	people_import_batch	PRIMARY	0	batch_id
shenzhou_hr_dev	people_import_diff	ix_people_import_diff_batch_category	1	batch_id,category,row_number,diff_id
shenzhou_hr_dev	people_import_diff	PRIMARY	0	diff_id
shenzhou_hr_dev	people_import_file	fk_people_import_file_actor	1	uploaded_by
shenzhou_hr_dev	people_import_file	ix_people_import_file_sha	1	sha256
shenzhou_hr_dev	people_import_file	PRIMARY	0	file_id
shenzhou_hr_dev	people_import_file	uq_people_import_file_batch	0	batch_id
shenzhou_hr_dev	people_import_issue	ix_people_import_issue_batch_severity	1	batch_id,severity,row_number,issue_id
shenzhou_hr_dev	people_import_issue	PRIMARY	0	issue_id
shenzhou_hr_dev	people_import_publication	PRIMARY	0	publication_id
shenzhou_hr_dev	people_import_publication	uq_people_publication_batch	0	batch_id
shenzhou_hr_dev	people_import_publication	uq_people_publication_idempotency	0	published_by,idempotency_key
shenzhou_hr_dev	people_import_publication	uq_people_publication_scoped_file_hash	0	legal_entity_id,template_type,template_version,file_sha256
