TABLE_SCHEMA	TABLE_NAME	ENGINE	TABLE_COLLATION
shenzhou_hr_dev	employee_current_projection	InnoDB	utf8mb4_0900_ai_ci
shenzhou_hr_dev	employee_version	InnoDB	utf8mb4_0900_ai_ci
shenzhou_hr_dev	people_idempotency_record	InnoDB	utf8mb4_0900_ai_ci
shenzhou_hr_dev	people_import_batch	InnoDB	utf8mb4_0900_ai_ci
shenzhou_hr_dev	people_import_diff	InnoDB	utf8mb4_0900_ai_ci
shenzhou_hr_dev	people_import_file	InnoDB	utf8mb4_0900_ai_ci
shenzhou_hr_dev	people_import_issue	InnoDB	utf8mb4_0900_ai_ci
shenzhou_hr_dev	people_import_publication	InnoDB	utf8mb4_0900_ai_ci
shenzhou_hr_dev	people_import_rollback	InnoDB	utf8mb4_0900_ai_ci
shenzhou_hr_dev	prior_service_record	InnoDB	utf8mb4_0900_ai_ci
shenzhou_hr_test	employee_current_projection	InnoDB	utf8mb4_0900_ai_ci
shenzhou_hr_test	employee_version	InnoDB	utf8mb4_0900_ai_ci
shenzhou_hr_test	people_idempotency_record	InnoDB	utf8mb4_0900_ai_ci
shenzhou_hr_test	people_import_batch	InnoDB	utf8mb4_0900_ai_ci
shenzhou_hr_test	people_import_diff	InnoDB	utf8mb4_0900_ai_ci
shenzhou_hr_test	people_import_file	InnoDB	utf8mb4_0900_ai_ci
shenzhou_hr_test	people_import_issue	InnoDB	utf8mb4_0900_ai_ci
shenzhou_hr_test	people_import_publication	InnoDB	utf8mb4_0900_ai_ci
shenzhou_hr_test	people_import_rollback	InnoDB	utf8mb4_0900_ai_ci
shenzhou_hr_test	prior_service_record	InnoDB	utf8mb4_0900_ai_ci
