probe	method	path	status	code	correlation_id
admin-login	POST	/api/v1/auth/login	200		bbfacc20-ffb1-4c86-a492-782b96d3e1ca
unauthenticated-people	GET	/api/v1/people-imports	401	AUTHENTICATION_REQUIRED	dc2bb304-711a-4a42-a0f8-6df38964c15f
unknown-employee	GET	/api/v1/employees/00000000-0000-0000-0000-000000000099	404	RESOURCE_NOT_AVAILABLE	84f60410-bc03-4c7b-b8d5-cf844ad007d1
cross-scope-batch-create	POST	/api/v1/people-imports	404	RESOURCE_NOT_AVAILABLE	e5ef7fa7-ded1-489f-91d3-30051ab9eeef
csrf-rejected	POST	/api/v1/people-imports	403	CSRF_VALIDATION_FAILED	07d65ad7-1058-479d-9313-74583a7fba14
roles-for-restricted-user	GET	/api/v1/access/roles	200		e985461e-0a24-440e-8ab9-10db21f54b0d
restricted-account-create	POST	/api/v1/access/accounts	201		b6c8c735-2295-424c-a22a-d7803bd111f3
restricted-login	POST	/api/v1/auth/login	200		0ffb30ab-b0c5-4af0-8386-90f53d4ece53
capability-denied	GET	/api/v1/people-imports	403	ACCESS_DENIED	d07d5f76-0f07-4143-b58e-7876c47842a3
template-catalog	GET	/api/v1/people-imports/templates?page=0&size=20	200		3fb09927-a21a-45d9-9a19-e800d6d9a5f4
local-root-organization-create	POST	/api/v1/organization-units	201	W2ROOTXM8I0BB61873	373df1c0-3c8b-41c5-928f-19cec970d32c
local-child-organization-create	POST	/api/v1/organization-units	201	W2DEPTXM8I0BB61873	8caee507-f0d3-43f0-ab8b-1b6ef7dc5c7f
local-child-organization-update	PATCH	/api/v1/organization-units/8727f045-1b97-4fcc-81f8-8cc774f98af6	200	W2DEPTXM8I0BB61873	1ac26cc1-476e-4724-8b29-c87472023b8a
local-child-organization-stale	PATCH	/api/v1/organization-units/8727f045-1b97-4fcc-81f8-8cc774f98af6	409	STALE_VERSION	066dcd6d-8c2a-4d5b-9525-3a43d9051d4c
local-child-organization-versions	GET	/api/v1/organization-units/8727f045-1b97-4fcc-81f8-8cc774f98af6/versions?page=0&size=20	200		0c588f2d-243f-4e3c-9ac6-65b94b7d04de
local-employee-under_test-create	POST	/api/v1/employees	201		99fe4b24-7fdb-48ad-9bc2-e628fdd66586
local-employee-unchanged-create	POST	/api/v1/employees	201		aae4d8d1-ddb9-47ac-97ba-5525c1b7829d
local-employee-conflict_a-create	POST	/api/v1/employees	201		85b7d3ab-e3d1-4c55-ae10-966546708281
local-employee-conflict_b-create	POST	/api/v1/employees	201		3539545e-c4c7-46d8-b6d6-b89de350a4c9
local-employee-update	PATCH	/api/v1/employees/c6d261dc-6198-4f37-9e7b-e55e165775c8	200		ddf4c9fe-020d-469e-bdcd-3bd0412d5818
local-employee-versions	GET	/api/v1/employees/c6d261dc-6198-4f37-9e7b-e55e165775c8/versions?page=0&size=20	200		d26e6d97-4de4-4937-b3de-0e65ca89bc36
employee-before-first-period	GET	/api/v1/employees/c6d261dc-6198-4f37-9e7b-e55e165775c8	200		e70095c6-ff21-42c1-b16d-178aac9101b7
employment-first-period	POST	/api/v1/employees/c6d261dc-6198-4f37-9e7b-e55e165775c8/employment-periods	201		77f4fd53-b07e-4991-bee0-602acd4cbc0e
employee-before-rehire	GET	/api/v1/employees/c6d261dc-6198-4f37-9e7b-e55e165775c8	200		41aad942-dce7-4787-bf70-ae4fdddce6ba
employment-rehire-period	POST	/api/v1/employees/c6d261dc-6198-4f37-9e7b-e55e165775c8/employment-periods	201		75291618-4dfe-42e0-9f9c-739c13f2e0ad
employee-before-overlap	GET	/api/v1/employees/c6d261dc-6198-4f37-9e7b-e55e165775c8	200		50059b8c-7a23-43bd-82a0-65656358648a
employment-overlap-rejected	POST	/api/v1/employees/c6d261dc-6198-4f37-9e7b-e55e165775c8/employment-periods	409	EMPLOYMENT_PERIOD_OVERLAP	cd8ea978-9f97-4b29-803c-f73067d1cad2
employment-history-query	GET	/api/v1/employees/c6d261dc-6198-4f37-9e7b-e55e165775c8/employment-periods?page=0&size=20	200		99922eaf-7102-4c1f-9c41-b4e831c9fed9
employment-gap-query	GET	/api/v1/employees/c6d261dc-6198-4f37-9e7b-e55e165775c8/employment-periods?asOf=2021-01-15&page=0&size=20	200		0289de6a-8bdd-44ba-ba5f-d6c71c2d580c
employment-termination-day-query	GET	/api/v1/employees/c6d261dc-6198-4f37-9e7b-e55e165775c8/employment-periods?asOf=2026-07-25&page=0&size=20	200		03898890-f310-47c0-ac11-0b8a2c4cb098
employment-day-after-query	GET	/api/v1/employees/c6d261dc-6198-4f37-9e7b-e55e165775c8/employment-periods?asOf=2026-07-26&page=0&size=20	200		f158a5ee-c890-4e43-8186-cd330ebbd7a4
employee-before-prior-service	GET	/api/v1/employees/c6d261dc-6198-4f37-9e7b-e55e165775c8	200		b579185c-48ac-4a76-b6f0-f163f7d41fda
prior-service-adjustment	POST	/api/v1/employees/c6d261dc-6198-4f37-9e7b-e55e165775c8/prior-service-adjustments	201		7c9e85e3-084c-4e60-b56a-6e069fa7530d
employee-before-recalculate	GET	/api/v1/employees/c6d261dc-6198-4f37-9e7b-e55e165775c8	200		00ad5573-558e-4360-a5a0-23951a39d40a
prior-service-recalculate-one	POST	/api/v1/employees/c6d261dc-6198-4f37-9e7b-e55e165775c8/prior-service/recalculate	200		d62f01bc-806b-4aa2-bac3-1d6e2a64d686
employee-before-second-recalculate	GET	/api/v1/employees/c6d261dc-6198-4f37-9e7b-e55e165775c8	200		e96a9cdb-8b4c-4357-ab1a-492d1ae152de
prior-service-recalculate-two	POST	/api/v1/employees/c6d261dc-6198-4f37-9e7b-e55e165775c8/prior-service/recalculate	200		9fa5fd38-3d57-4caa-8776-8ba7b3f22845
prior-service-records	GET	/api/v1/employees/c6d261dc-6198-4f37-9e7b-e55e165775c8/prior-service-records?page=0&size=20	200		4fdc59a4-f145-476a-a9a6-b98953d08923
download-organization-template	GET	/api/v1/people-imports/templates/ORGANIZATION/versions/1.0.0	200		e9fa165a-d164-424c-9317-0c48a5a7ba32
organization-rollback-batch-create	POST	/api/v1/people-imports	201		8af3f590-014d-4267-87ec-772cd2f08c62
organization-rollback-upload	PUT	/api/v1/people-imports/eb733f46-02ee-49b7-8781-8c430d6b01e3/file	200		6858e9a3-50fc-478a-8aa3-a3601c6dd1e8
organization-rollback-after-upload	GET	/api/v1/people-imports/eb733f46-02ee-49b7-8781-8c430d6b01e3	200		f515f13e-a835-4f67-b5e8-a68ce1df43f7
